name,manufacturer,price,salt_name,strength
A2A,Wilson's,Rs 152,Losartan Potassium,25mg
Amlocard 5,Pharmatec,Rs 119,,
Amclav,Getz Pharma,Rs 178,Co-amoxiclav,62.5mg
Acetra,Amarant,Rs 172,Tramadol,37.5mg
Angiwell,Aspin Pharma,Rs 203,Ranolazine,1000mg
Acicon,Barrett,Rs 258,Famotidine,40 mg
AM-Telsan,Hilton,Rs 246,Amlodipine,5mg
Aminophylline,LCPW,Rs 520,Aminophylline,250 mg
Agolix,Hirani's Pharma,Rs 105,Doxofylline,100 mg
Agolix,Hirani's Pharma,Rs 223,Doxofylline,400 mg
Aireez,Pharm Evo,Rs 294,Montelukast,4 mg
Amisped,Sanofi,Rs 224,Montelukast,5 mg
Asthiven,Scilife,Rs 250,Montelukast,4 mg
Asthiven,Scilife,Rs 195,Montelukast,5 mg
Avsar Plus,Pharm Evo,Rs 106,Amlodipine besylate,5 mg
Am-Telsan,Hilton,Rs 264,Telmisartan,10mg
Advacort 0.1% 10g,Atco,Rs 240,,
Avsar Plus,Pharm Evo,Rs 119,Amlodipine besylate,160
Amoxil,GlaxoSmithKline,Rs 303,Amoxicillin,500mg
Atorva,Pharmatec,Rs 637,Atorvastatin calcium trihydrate,40mg
Aurora,Ferozsons,Rs 542,Rosuvastatin calcium,20mg
Arynoin-Plus Gel 10g,Pharma Health,Rs 472,,
Amico-M Sugar Free,Amarant,Rs 425,,
Atmos,Scotman,Rs 259,Ebastine,20mg
Amity,Scotman,Rs 175,Ciprofloxacin,125mg
Amity,Scotman,Rs 200,Ciprofloxacin,250mg
Amity,Scotman,Rs 211,Ciprofloxacin,250mg
Amity,Scotman,Rs 318,Ciprofloxacin,500mg
Advance,Scotman,Rs 160,Fluoxetine,20mg
Amak,Hudson Pharma's,Rs 139,Amikacin Sulfate,50 mg
Amak,Hudson Pharma's,Rs 278,Amikacin Sulfate,100 mg
Amak,Hudson Pharma's,Rs 184,Amikacin Sulfate,500 mg
Avsar Plus,Pharm Evo,Rs 499,Amlodipine besylate,10mg
Atem,Chiesi,Rs 600,Ipratropium Bromide,0.03%
Adablizer,Adamjee Pharmaceuticals,Rs 177,Aripiprazole,15mg
Adapco,Atco,Rs 298,Adapalene,0.10%
Avodart,GlaxoSmithKline,"Rs 4,259",Dutasteride,0.5mg
All Purpose Nipple Ointment (APNO),Nigehban,Rs 500,Betamethasone,0.10%
Amodip,Mass-PH Health,Rs 690,Amlodipine,10mg
Amoxi-Clav,Sandoz,Rs 73,Co-amoxiclav,375mg
Azocam,Le Mendoza,Rs 300,Azithromycin,250mg
Aireez,Pharm Evo,Rs 479,Montelukast,10mg
Am-Descol,Nabi Qasim,Rs 181,Amlodipine,10
Amodip-V,Mass-PH Health,Rs 325,Amlodipine besylate,5mg
Aireez,Pharm Evo,Rs 100,Montelukast,5mg
Aproxen,Schazoo Pharmaceuticals,Rs 79,Naproxen,275mg
Asthiven,Scilife,Rs 210,Montelukast,10mg
Alfa-D,Platinum,Rs 400,Alfacalcidol,1mcg
Abri Flex Adult Pull-up - Extra Large,Abena,"Rs 7,900",,
Amodip.,Mass-PH Health,Rs 119,,
Agnar,Getz Pharma,Rs 900,Calcium Supplement,400 IU
Aquazole,Martin Dow,Rs 220,,
Altin-Met,ICI Pakistan Limited,Rs 258,Metformin,1000 mg
Am-Telsan,Hilton,Rs 312,Amlodipine,5
Amoxi-Clav,Sandoz,Rs 92,Co-amoxiclav,
Aripan,Cell Laboratories,Rs 190,Aripiprazole,20 mg
Aceclocare,Titlis Pharma,Rs 119,Aceclofenac,100 mg
Acuron,Brookes,Rs 353,Atracurium Besylate,10 mg
Apitent,Sois Life Sciences,Rs 180,,
Avaam,ICI Pakistan Limited,Rs 338,Amlodipine,5 mg
Alkeris-SR,Sami,Rs 140,Aceclofenac,200 mg
A-Glip,Atco,Rs 396,Sitagliptin,50 mg
Acukat,Genix,Rs 425,Nepafenac,
Azineu,Neutro,Rs 158,Azithromycin,250 mg
Am-Telsan,Hilton,Rs 642,Amlodipine,10 mg
Artem Plus,Hilton,Rs 272,Artemether/Lumafantrine,30 mg
Adrance-M,Atco,Rs 138,Empagliflozin,5 mg
Adrance-M,Atco,Rs 125,Empagliflozin,5 mg
Adrance-M,Atco,Rs 225,Empagliflozin,12.5 mg
Adrance-M,Atco,Rs 160,Empagliflozin,12.5 mg
Adrance-M,Atco,Rs 176,Empagliflozin,12.5 mg
Amsart,Macter,Rs 490,Amlodipine besylate,10 mg
Amsart,Macter,Rs 350,Amlodipine,5 mg
Amis,Rite pharma,Rs 338,Amisulpride,100 mg
Amis,Rite pharma,Rs 929,Amisulpride,400 mg
Adrance,Atco,Rs 600,Empagliflozin,25 mg
Anplag,Pharm Evo,Rs 318,Ticagrelor,60 mg
Admit,Shaigan,Rs 450,Sitagliptin,50 mg
Adrance,Atco,Rs 400,Empagliflozin,10 mg
Aminoleban Liquid,Otsuka,Rs 921,Aminoacids,8%
Atizor,Hirani's Pharma,Rs 315,Azithromycin,200 mg
Amsart,Macter,Rs 209,Amlodipine,10 mg
Alkeris,Sami,Rs 107,Aceclofenac,100 mg
Antial,Sami,Rs 165,Loratadine,10 mg
Av-Sartan,Barrett,Rs 380,Amlodipine,5 mg
Actrac,Serving Health Pakistan,"Rs 2,035",Isotretinoin Oral,20 mg
Advit-D,Martin Dow,Rs 180,Cholecalciferol,"200,000 IU"
Aromek,Galaxy,"Rs 3,380",Letrozole,2.5 mg
Afdol,AGP,"Rs 1,100",Memantine HCl,
Afdol,AGP,Rs 560,Memantine HCl,10 mg
Algocin,AGP,Rs 220,Ciprofloxacin,250 mg
Algocin,AGP,Rs 350,Memantine HCl,500 mg
All-D,AGP,Rs 300,Cholecalciferol,
Avec,Platinum,Rs 144,Cetirizine Hydrochloride,10 mg
Avec,Platinum,Rs 139,Cetirizine Hydrochloride,
Azocam-DS,Le Mendoza,Rs 294,Azithromycin,500 mg
Amstan,Scilife,Rs 601,Amlodipine,10 mg
Amstan,Scilife,Rs 518,Amlodipine,5 mg
Address,Scotmann,Rs 213,Amlodipine,10 mg
Abriva Plus,CCL,"Rs 3,148",Sofosbuvir,400 mg
ARBI,Pharm Evo,Rs 284,,
ARBI,Pharm Evo,Rs 360,,
ARBI,Pharm Evo,Rs 426,,
ARBI-D,Pharm Evo,Rs 511,,
ARBI-D,Pharm Evo,Rs 364,,
Acefyl 60 ml (brown),Nabi Qasim,Rs 51,,
Admit,Shaigan,Rs 225,,
Azitma,Sami,Rs 220,,
Avega,hanzala pharmaceuticals,Rs 984,,
Avega,hanzala pharmaceuticals,"Rs 1,540",,
Actrapid HM Penfill,Novo Nordisk,Rs 391,Insulin Regular,100 iu
Atorva,Pharmatec,Rs 298,Atorvastatin calcium trihydrate,10 mg
Alphacoline,High-Q,Rs 293,,
Aromasin 25 mg,Pfizer,"Rs 7,788",,
Ansaid 100mg Tablet,Pfizer,Rs 108,Flurbiprofen,
Actogin,Atco,Rs 281,,
Arinac Forte,Abbott Laboratories,Rs 106,Ibuprofen,400mg
Aripip 10mg,Pharmatec,Rs 160,Aripiprazole,
Amoxil,GlaxoSmithKline,Rs 303,Amoxicillin,500 mg
Adalat LA,Bayer,Rs 365,Nifedipine,30 mg
Arinac Tab,Abbott Laboratories,Rs 55,Ibuprofen,200mg
Aripip 15mg,Pharmatec,Rs 213,Aripiprazole,
Arimidex 1mg,ICI Pakistan Limited,"Rs 5,951",Anastrozole,1gm
Avelox,Bayer,"Rs 1,043","Moxifloxacin, Oral",400mg
Atarax,GlaxoSmithKline,Rs 73,Hydroxyzine,25 mg
Ascard Plus,Atco,Rs 239,Clopidogrel Bisulphate,81mg
Alp,Hilton,Rs 95,Alprazolam,0.5mg
Amoxil 250 Mg,GlaxoSmithKline,Rs 126,Amoxicillin,250mg
AM-Descol,Nabi Qasim,Rs 207,Amlodipine besylate,5
Alphagan,Wyeth,Rs 804,Brimonidine Tartrate,0.20%
Atorva,Pharmatec,Rs 308,Atorvastatin calcium trihydrate,10 mg
Adoxa 100mg,Pharma Health,Rs 84,Doxycycline,
Axcin,Novartis,Rs 350,Ciprofloxacin,500mg
Alfa-D 0.5mcg,Platinum,Rs 300,Alfacalcidol,
Azomax,Novartis,Rs 375,Azithromycin,200mg
Artholex Advanced,Celven Life Sciences,Rs 360,,
Aerokast,Barrett,Rs 480,Montelukast,10mg
Advantan Fatty Ointment,Bayer,Rs 265,"Methylprednisolone Aceponate, Topical",0.10%
Advantan Ointment,Bayer,Rs 295,"Methylprednisolone Aceponate, Topical",0.10%
Augmentin  Infant Drops 62.5mg/ml,GlaxoSmithKline,Rs 183,Co-amoxiclav,
Artem Plus,Hilton,Rs 570,Artemether,80mg
Anafortan Plus,AGP,Rs 248,Phloroglucinol,
Ampress 5mg,Barrett,Rs 100,Amlodipine,
Acicon 20mg,Barrett,Rs 142,Famotidine,
Acylex 200mg,Ferozsons,Rs 79,Acyclovir inf/oral,200mg
Ampiclox Syrup 250mg/ 5ml,GlaxoSmithKline,Rs 228,Ampicillin and Cloxacillin,250mg
Ampiclox 250mg,GlaxoSmithKline,Rs 162,Ampicillin and Cloxacillin,250mg
Ampiclox 500mg,GlaxoSmithKline,Rs 276,Ampicillin and Cloxacillin,500mg
Apsin 40mg,Saffron,Rs 226,Famotidine,40 mg
Acylex 400mg,Ferozsons,Rs 300,Acyclovir inf/oral,400mg
Abocal,Abbott Laboratories,Rs 286,Calcium carbonate,
Acyclovir,Abbott Laboratories,"Rs 1,449",Acyclovir inf/oral,500 mg
ACYLEX (Acyclovir) 200mg/5ml 60 ML SUSPENSION,Ferozsons,Rs 550,Acyclovir inf/oral,200mg
Advantan Cream 10g,Bayer,Rs 295,"Methylprednisolone Aceponate, Topical",0.10%
Aerokast 4mg Tab,Barrett,Rs 254,Montelukast,
Anafortan Plus,AGP,Rs 123,Phloroglucinol and Trimethylphloroglucinol,
Atorva,Pharmatec,Rs 549,Atorvastatin calcium trihydrate,20mg
Augmentin,GlaxoSmithKline,Rs 344,Co-amoxiclav,156.25mg
Aurora,Ferozsons,Rs 203,Rosuvastatin calcium,5mg
Aerokast Powder Sachet 4mg,Barrett,Rs 28,Montelukast,
AMOXIL FORTE 250mg 90 ML SYP,GlaxoSmithKline,Rs 175,Amoxicillin,250mg
Amplus 500mg,Bosch,Rs 78,Ampicillin,
Aerokast 5mg Tab,Barrett,Rs 302,Montelukast,
Avsar,Pharm Evo,Rs 197,Valsartan,5mg
Antolol,Icon,Rs 150,Atenolol,100mg
Atenorm,Ferozsons,Rs 153,Atenolol,100mg
Atenorm,Ferozsons,Rs 70,Atenolol,50mg
Atlin,Bosch,Rs 60,Atenolol,100mg
Actim,Sami,Rs 240,Bisoprolol Fumarate,10mg
Actim,Sami,Rs 165,Bisoprolol Fumarate,5mg
Amaryl,Sanofi,Rs 155,Glimepiride,1mg
Amaryl,Sanofi,Rs 308,Glimepiride,2mg
Amaryl,Sanofi,Rs 462,Glimepiride,3mg
Amaryl,Sanofi,Rs 615,Glimepiride,4mg
Amaryl M S.R,Sanofi,Rs 210,Glimepiride,1mg
Amaryl-M.S.R,Sanofi,Rs 378,Glimepiride,2mg
Andrex,OBS,Rs 320,Testosterone undecanoate,40mg
Atcomid,Atco,Rs 635,Lacosamide,100mg
Atcomid,Atco,Rs 480,Lacosamide,50mg
Albizole,Icon,Rs 110,Clotrimazole,5gm
Acuron,Brookes,Rs 147,Atracurium Besylate,10mg
Acetofen,Shaigan,Rs 48,Orphenadrine,35mg
Ambrogesic,Icon,Rs 35,Orphenadrine,35mg
Agile,Wilshire,Rs 131,Tizanidine,2mg
Agile,Wilshire,Rs 261,Tizanidine,4mg
Analar,AGP,Rs 147,Tizanidine,2mg
Amodip-V,Mass-PH Health,Rs 288,Valsartan,10mg
Amodip-V,Mass-PH Health,Rs 208,Valsartan,5mg
Amstan,Scilife,Rs 532,Amlodipine,10 mg
Amstan,Scilife,Rs 386,Valsartan,5mg
Angiotan H,Efroze,Rs 336,Valsartan,160mg
Advant,Getz Pharma,Rs 263,Candesartan Cilexetil,16 mg
Advant,Getz Pharma,Rs 200,Candesartan Cilexetil,8 mg
Advantec,Getz Pharma,Rs 263,Candesartan Cilexetil,16 mg
Aprovel,Sanofi,Rs 666,Irbesartan,150mg
Aprovel,Sanofi,"Rs 1,863",Irbesartan,300mg
A2A,Wilson's,Rs 270,Losartan Potassium,100mg
A2A,Wilson's,Rs 288,Losartan Potassium,50mg
Adenuric,S.J. & G. Fazul Ellahie,Rs 325,Febuxostat,80mg
Adronil,Searle,Rs 751,Ibandronic Acid,150mg
Atconate,Atco,Rs 660,Risedronate Sodium,150mg
Aldomet,OBS,Rs 123,Methyldopa,250mg
Azotek,Saffron,Rs 238,Azithromycin,250mg
Azotek,Saffron,Rs 436,Azithromycin,500 mg
Azopt,Novartis,"Rs 1,600",Brinzolamide,0.1
Afoxin,AGP,Rs 240,Clarithromycin,250mg
Afoxin,AGP,Rs 440,Clarithromycin,500mg
Acireg,Barrett,Rs 112,Esomeperazole,20 mg
Acireg,Barrett,Rs 250,Esomeperazole,40mg
Becefol,Abbott Laboratories,Rs 191,Vitamin B complex plain and with Vitamin C,
Biflor,Hilton,Rs 78,Saccharomyces Boulardii,250mg
Boncal Plus,Sigma Pharma,Rs 790,,
Betnovate N Ointment,GlaxoSmithKline,Rs 123,Neomycin,
Bevidox,Abbott Laboratories,Rs 244,"Vitamin B1, B6, B12 combinations",
Betnovate N 60ml,GlaxoSmithKline,Rs 285,Neomycin,
Bosmon,Hilton,Rs 930,Bosentan,62.5mg
Bon-One,Martin Dow,Rs 330,Alfacalcidol,0.5mcg
Blephamide Sop Opthalmic Ointment,Barrett,Rs 211,Prednisolone,
Betnesol,GlaxoSmithKline,Rs 26,Betamethasone,0.5mg
Blephamide Liquid,Barrett,Rs 116,Phenylephrine,
Bonnisan,Highnoon,Rs 690,,
Blink Fresh,Sante,Rs 120,Polyvinyl Alcohol,
Busron 5mg,S.J. & G.,Rs 167,Buspirone,
Betasalic Lotion,Atco,Rs 122,"Betamethasone Dipropionate, Topical",
Betnelan 0.5mg,GlaxoSmithKline,Rs 34,"Betamethasone Sodium Phosphate, Inj/Oral",
Betnovate Lotion 60ml,GlaxoSmithKline,Rs 311,"Betamethasone Valerate, Topical",
Blokium,Highnoon,Rs 158,Atenolol,100mg
Blokium,Highnoon,Rs 52,Atenolol,25mg
Blokium,Highnoon,Rs 102,Atenolol,50mg
Blokium DIU,Highnoon,Rs 130,Atenolol,100mg
Byscard,Searle,Rs 442,Nebivolol HCl,10mg
Baycuten N,Bayer,Rs 109,Dexamethasone,
Britanyl,Barrett,Rs 30,Terbutaline,2.5mg
Barilol 5mg,Barrett,Rs 105,Bisoprolol,
BEASY 10mg,Bosch,Rs 375,Montelukast,
Beasy 4MG,Bosch,Rs 207,Montelukast,
Beasy 5MG,Bosch,Rs 240,Montelukast,
Blokium DIU,Highnoon,Rs 120,Atenolol,50mg
Biscot,Scotman,Rs 156,Bisoprolol,10mg
Betaloc Zok,Barrett,Rs 340,Metoprolol Succinate,100mg
Byscard,Searle,Rs 173,Nebivolol HCl,2.5mg
Byscard,Searle,Rs 282,Nebivolol HCl,5mg
Bapen,Genetics Pharmaceuticals,Rs 122,Gabapentin,100mg
Bapen,Genetics Pharmaceuticals,Rs 169,Gabapentin,300mg
Bapen,Genetics Pharmaceuticals,Rs 446,Gabapentin,400mg
breglin,Brookes,Rs 175,Pregabalin.,150mg
Baxamin,Schazoo Pharmaceuticals,Rs 77,Methocarbamol,400mg
Bepsar,Nabi Qasim,Rs 83,Losartan Potassium,25mg
Bepsar,Nabi Qasim,Rs 271,Losartan Potassium,50mg
Bepsar Plus,Nabi Qasim,Rs 220,Losartan Potassium,50mg
Blaze Plus,Mass-PH Health,Rs 183,Losartan Potassium,50
Baritec,Barrett,Rs 230,Olmesartan Medoxomil,20mg
Baritec,Barrett,Rs 400,Olmesartan Medoxomil,40mg
Bionic,S.J. & G. Fazul Ellahie,Rs 820,Ibandronic Acid,150mg
Bonviva,Roche,"Rs 10,000",Ibandronic Acid,3mg
Bonviva,Roche,"Rs 2,471",Ibandronic Acid,150mg
Bactizith,Wood Wards,Rs 219,Azithromycin,500mg
Blephamide Oint,Barrett,Rs 211,Prednisolone,0.25%
Blephapred Oint,Sante,Rs 161,Prednisolone,0.25%
Blephamide Drop,Barrett,Rs 116,Prednisolone,0.2%
Benclin,Sante,Rs 500,Clindamycin,1 %
Beltapro,Tabroos,Rs 131,Clobetasol,0.50%
Bracin-D,Atco,Rs 235,Dexamethasone,0.1%
Bromycin-D,Innvotek,Rs 142,Dexamethasone,0.1%
Bestec,Shrooq,Rs 169,Ebastine,10mg
Basoquin,Pfizer,Rs 39,Amodiaquine,150mg
Barinep,Barrett,Rs 540,Nepafenac,0.1%
Bakacin,Global-Vision,Rs 170,Amikacin,500mg
Baydal,Bayer,Rs 61,Cetirizine,10mg
Buscopan Plus,Merck,Rs 125,Hyoscine,10mg
B-Lact,Brookes,Rs 226,Lactulose,3.35gm
Bexus,Shaigan,Rs 185,Levofloxacin,250mg
Brodin,Werick,Rs 120,Levofloxacin,250mg
Brodin,Werick,Rs 230,Levofloxacin,500mg
Brotin,Shaigan,Rs 221,Bromocriptine,2.5mg
Basagine,Getz Pharma,"Rs 1,150",Insulin Glargine,100 IU
Butrin,Genetics Pharmaceuticals,Rs 187,Bupropion,75mg
Bismol,Macter,Rs 73,Bismuth Subsalicylate,265mg
Baxim,Nabi Qasim,Rs 135,Cefotaxime,1gm
Bestrix,Asian Continental,Rs 115,Ceftriaxone,250mg
Bestrix I.V,Asian Continental,Rs 384,Ceftriaxone,1gm
Bestrix,Asian Continental,Rs 205,Ceftriaxone,500mg
Bacticlor,Hirani's Pharma,Rs 151,Cephalexin,500mg
Betamet,Martin Dow,Rs 127,"Betamethasone Valerate, Topical",0.001
Betoptic-S Eye Drop 0.25% 5 ml,Alcon Pharma,Rs 618,"Betaxolol, Eye",
Berica,S.J. & G. Fazul Ellahie,Rs 163,Etoricoxib,60mg
Bludol,Stand Pharm,Rs 32,Ibuprofen,200mg
Brufen,Abbott Laboratories,Rs 64,Ibuprofen,600mg
Betadex,kaizen,Rs 130,Piroxicam-beta-cyclodextrin,20mg
Boshcam-B,Bosch,Rs 210,Piroxicam-beta-cyclodextrin,20mg
Brexin,Chiesi,Rs 300,Piroxicam-beta-cyclodextrin,20mg
Benprost 20mcg,Nabi Qasim,Rs 617,Beraprost,
Bepra 10mg,CCL,Rs 130,Rabeprazole,
Buzon 4mg,Nabi Qasim,Rs 400,Risperidone,
Bynevol 2.5mg,Atco,Rs 162,Nebivolol HCl,
Bifomyk,Mass-PH Health,Rs 223,,
Betaderm-NM 10gm,Atco,Rs 135,Betamethasone,
Bactamox 1.5gm,Bosch,Rs 195,Amoxicillin,
Bactamox 3gm Plus inj,Bosch,Rs 336,,
Bactamox 0.75mg Plus inj,Bosch,Rs 122,Amoxicillin,
Btrol 250mg,Bosch,Rs 128,Tranexamic Acid,
Btrol 500mg,Bosch,Rs 176,Tranexamic Acid,
Btrol 250mg,Bosch,Rs 45,Tranexamic Acid,
Bronochol syrup 120ml,Ferozsons,Rs 125,,
Bekson Forte,Getz Pharma,Rs 590,,
Biocobal,High-Q,Rs 94,B12,500mcg
Bambec,Barrett,Rs 253,Bambuterol,10 mg
Blotim 0.5%,Remington,Rs 164,,
Bisleri,Sami,Rs 300,Iron Polymaltose,50mg
Bactizith,Wood Wards,Rs 270,Azithromycin,200mg
B.Braun Cannula With Stopper 22G,B.Braun,Rs 239,,
Bofalgan,Bosch,Rs 150,Paracetamol,1gm
Bozpah,Nabi Qasim,"Rs 1,107",Bosentan Monohydrate,62.5 mg
Bactocan,Maxitech Pharma,Rs 190,Fluconazole,150mg
Bamtel,Schazoo Pharmaceuticals,Rs 130,"Bambuterol, Oral",10 mg
Btno,Genix,Rs 304,"Bambuterol, Oral",5mg
Btno,Genix,Rs 351,"Bambuterol, Oral",10mg
Btno,Genix,Rs 282,"Bambuterol, Oral",20mg
Bamifix,Chiesi,Rs 235,Bamifylline,600mg
Bronkeez,Stand Pharm,Rs 320,Montelukast,4 mg
Bronkeez,Stand Pharm,Rs 195,Montelukast,10 mg
Bronkeez,Stand Pharm,Rs 178,Montelukast,5 mg
Brethin,Platinum,Rs 25,Terbutaline Inj/Oral,2.5 mg
Bremax,Abbott Laboratories,Rs 36,Tulobuterol HCL,2 mg
Bynevol 5mg,Atco,Rs 300,Nebivolol HCl,
Bezel 500 mcg,Saffron,Rs 495,Mecobalamin,
Bezel 500 mcg,Saffron,Rs 99,Mecobalamin,
Bisleri 60ml,Sami,Rs 143,Iron Polymaltose,50mg
Bispa,Aspin Pharma,Rs 240,Bisoprolol,10 mg
Betanorm,Werick,Rs 218,Nebivolol HCl,5 mg
Barilol,Barrett,Rs 160,Bisoprolol,10mg
Brimson,Hudson Pharma's,Rs 742,Brimonidine Tartrate,
Brimson Plus,Hudson Pharma's,Rs 859,Brimonidine Tartrate + Timolol Maleate,
Betabar Ophthalmic Solution,Barrett,Rs 244,Levobunolol,
Bold,Scotman,Rs 105,Omeprazole,40mg
BTig,Bosch,"Rs 4,000",Tigecycline,50mg
Brivera,Helix Pharma,Rs 995,Brivaracetam,50 mg
Brivera,Helix Pharma,Rs 532,Brivaracetam,25 mg
Basil Plus Multivitamin & Mineral Supplements Tablets 3 x 10's Pack,Perfect Pharma Pvt Ltd,Rs 498,,
Bactizith,Woodwards,Rs 462,Azithromycin,250 mg
Bilagol - L,Schazoo Pharmaceuticals,Rs 232,Lactulose,67 gm
Bisleri,Sami,Rs 76,Iron Polymaltose,
Briax,AGP,Rs 178,Piroxicam,20 mg
Bisleri,Sami,Rs 152,Iron,III Hydroxide Polymaltose Complex + Folic A
Brufen,Abbott Laboratories,Rs 40,Ibuprofen,200 mg
Boshcam-B,Bosch,Rs 105,Piroxicam beta Cyclodextrin,20 mg
Beeko Sterile Neubilizer,Hudson Pharma's,Rs 394,,
Bispa,Aspin Pharma,Rs 91,Bisoprolol Fumarate,5 mg
Baritec-A,Barrett,Rs 270,,
Benzodep,Zaka Healthcare,Rs 480,Buspirone,5 mg
Barlev,Barrett,Rs 418,,
Bonjigar,Herbion,Rs 412,,
Brivera,Helix Pharma,Rs 855,,
Basagine,Getz Pharma,"Rs 1,150",Insulin Glargine,100unit
Betaderm N Cream 15gm,Atco,Rs 60,"Betamethasone Valerate, Topical",
Betaderm Ointment 15gm,Atco,Rs 65,"Betamethasone Valerate, Topical",
Betaderm N Ointment 15gm,Atco,Rs 77,"Betamethasone Valerate, Topical",
Betaderm Cream 15gm,Atco,Rs 57,"Betamethasone Valerate, Topical",
Betagenic Cream,Atco,Rs 94,"Betamethasone Valerate, Topical",0.1%
Betnesol Eye Ointment 5gm,GlaxoSmithKline,Rs 38,Betamethasone,
Britanyl Syrup,Barrett,Rs 70,Terbutaline,0.3mg
Bronkal Syrup 2mg / 60ml,Atco,Rs 43,Sulbutamol,
Bronkal Respiratory Sol 5mg/ Ml,Atco,Rs 51,Sulbutamol,
Betnovate Ointment 20 gm,GlaxoSmithKline,Rs 78,"Betamethasone Valerate, Topical",
Betnovate -N Cream 20 gm,GlaxoSmithKline,Rs 114,"Betamethasone Valerate, Topical",
Biscot,Scotman,Rs 97,Bisoprolol,5mg
Biguanil,Popular,Rs 18,Metformin,500mg
Blephapred Drop,Sante,Rs 68,Prednisolone,0.2%
Beltapro,Tabroos,Rs 85,Clobetasol,0.50%
Beltapro,Tabroos,Rs 71,Clobetasol,0.50%
Betadrop-N,Remington,Rs 62,Betamethasone,0.1%
Betnesol-N,GlaxoSmithKline,Rs 69,Betamethasone,0.1%
Belair,Bayer,Rs 71,Levocetirizine,5mg
Bakacin,Global-Vision,Rs 52,Amikacin,100mg
Bronchilate Syrup,Ray Pharma,Rs 35,Sulbutamol,
Bismol,Macter,Rs 91,Bismuth Subsalicylate,88mg
Baxim,Nabi Qasim,Rs 67,Cefotaxime,250mg
Baxim,Nabi Qasim,Rs 100,Cefotaxime,500mg
Beflam,Batala Pharma,Rs 50,Diclofenac potassium,75mg
Bludol,Stand Pharm,Rs 89,Ibuprofen,100mg
Bludol Ds,Stand Pharm,Rs 93,Ibuprofen,200mg
Brufen 120ml,Abbott Laboratories,Rs 108,Ibuprofen,100mg
Brufen DS 200mg 90ml,Abbott Laboratories,Rs 107,Ibuprofen,200mg
Betasalic Oint 15gm,Atco,Rs 92,,
Betnovate,GlaxoSmithKline,Rs 104,,
Btrol 500mg,Bosch,Rs 87,Tranexamic Acid,
Betagenic Ointment 0.05/0.1%,Atco,Rs 82,Gentamicin,0.1%
Barilol Tab 2.5mg 14's,Barrett,Rs 32,Bisoprolol,
Babynol,Wood Wards,Rs 71,,
Blisscal,Bliss,Rs 29,,
Bronex,Wood Wards,Rs 80,,
Bofalgan,Bosch,Rs 85,Paracetamol,300mg
Bispa,Aspin Pharma,Rs 47,Bisoprolol,2.5 mg
Biscot,Scotman,Rs 49,Amlodipine,2.5mg
